المادة الفعالة (Active Substance),رقم CAS,الحالة,اللون الإرشادي,التفصيل والقرار
Amisulbrom,348635-87-0,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Ampelomyces quisqualis strain AQ10,No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Aqueous extract from the germinated seeds of sweet Lupinus albus,No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Aureobasidium pullulans (strains DSM 14940 and DSM 14941),No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Azadirachtin (Margosa extract),11141-17-6,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Azoxystrobin,131860-33-8,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Bacillus amyloliquefaciens (formerly subtilis) strain QST 713,No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Bacillus amyloliquefaciens AH2,No CAS allocated,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Bacillus amyloliquefaciens IT-45,No CAS allocated,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Bacillus amyloliquefaciens strain FZB24,No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Bacillus amyloliquefaciens strain MBI 600,No CAS allocated,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Bacillus amyloliquefaciens subsp. plantarum D747,No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Bacillus subtilis strain IAB/BS03,No CAS allocated,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Bacillus subtilis strain RTI477,No CAS allocated,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Bacillus thuringiensis subsp. Aizawai strain ABTS-1857,No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Bacillus thuringiensis subsp. Aizawai strain GC-91,No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Bacillus thuringiensis subsp. israelensis (serotype H-14) strain AM65-52,No CAS allocated,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Bacillus thuringiensis subsp. Kurstaki strain ABTS-351,No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Bacillus thuringiensis subsp. Kurstaki strain EG2348,No CAS allocated,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Bacillus thuringiensis subsp. Kurstaki strain PB 54,No CAS allocated,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Bacillus thuringiensis subsp. Kurstaki strain SA 11,No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Bacillus thuringiensis subsp. Kurstaki strain SA 12,No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Bacillus velezensis strain RTI301,No CAS allocated,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Beauveria bassiana strain 147,No CAS allocated,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Beauveria bassiana strain 203,No CAS allocated,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Beauveria bassiana strain ATCC 74040,No CAS allocated,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Beauveria bassiana strain GHA,No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Beauveria bassiana strain IMI389521,No CAS allocated,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Beauveria bassiana strain NPP111B005,No CAS allocated,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Beauveria bassiana strain PPRI 5339,No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Beauveria bassiana strains ATCC 74040 and GHA,No CAS allocated,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Beer,No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
